Title,Genre,Original Network,Premiere,Seasons,Length,Netflix Exclusive Regions,Status
Mirage,Drama,Netflix,2018,,"2 hours, 9 min.",Selected territories,
Modest Heroes: Ponoc Short Films Theater,Anime,Netflix,2018,,51 min.,Selected territories outside North America[296],
Munafik 2,Horror,Netflix,2018,,"1 hour, 44 min.",Selected territories,
"My Teacher, My Obsession",Thriller,Netflix,2018,,"1 hour, 30 min.",Australia,
Nothing to Hide,Drama,Netflix,2018,,"1 hour, 33 min.",Worldwide except France,
Operation Finale,Drama,Netflix,2018,,"2 hours, 2 min.",Worldwide excluding U.S.[297],
Pachamama,Animation,Netflix,2018,,"1 hour, 11 min.","Worldwide except France, Belgium, Luxembourg, Switzerland and Canada.[298]",
Paskal,Drama,Netflix,2018,,"1 hour, 55 min.",Selected territories,
Perdida,Thriller,Netflix,2018,,"1 hour, 45 min.",Selected territories excluding Argentina,
Pickpockets,Crime drama,Netflix,2018,,"1 hour, 48 min.",Selected territories,
Psychokinesis,Action,Netflix,2018,,"1 hour, 41 min.",Worldwide except South Korea,
Pulang,Drama,Netflix,2018,,"1 hour, 58 min.",Selected territories including Sweden,
Revenger,Action,Netflix,2018,,"1 hour, 41 min.",Selected territories,
River's Edge,Comedy-drama,Netflix,2018,,"1 hour, 58 min.",Selected territories including Sweden[299],
Sabrina,Horror,Netflix,2018,,"1 hour, 53 min.","Worldwide except Singapore, Indonesia and Malaysia[300]",
Sara's Notebook,Thriller,Netflix,2018,,"1 hour, 55 min.","Worldwide except Hong Kong, India, Japan, Singapore, Spain, Thailand",
Second Act,Romantic comedy,Netflix,2018,,"1 hour, 44 min.",Selected territories including Japan,
Shéhérazade,Drama,Netflix,2018,,"1 hour, 51 min.",Worldwide except France,
Solo,Thriller,Netflix,2018,,"1 hour, 31 min.",Worldwide except Spain,
Sunday's Illness,Drama,Netflix,2018,,"1 hour, 53 min.","Selected territories, including Sweden and United States[301]",
Suzzanna: Buried Alive,Horror,Netflix,2018,,"2 hours, 5 min.",Selected territories,
The Awakening of Motti Wolkenbruch,Comedy,Netflix,2018,,"1 hour, 30 min.",Selected territories,
The Breaker Upperers,Romantic comedy-drama,Netflix,2018,,"1 hour, 30 min.","Worldwide except Australia, New Zealand[302]",
The Burial of Kojo,Drama,Netflix,2018,,"1 hour, 20 min.",Selected territories,
The Drug King,Drama,Netflix,2018,,"2 hours, 19 min.",Selected Territories,
The Guernsey Literary and Potato Peel Pie Society,Historical-drama,Netflix,2018,,"2 hours, 4 min.","United States, Canada, Latin America, Italy, Eastern Europe and Southeast Asia[303]",
The Kindergarten Teacher,Drama,Netflix,2018,,"1 hour, 36 min.",United States and Canada[304],
The Laws of Thermodynamics,Romantic comedy,Netflix,2018,,"1 hour, 40 min.",Worldwide except Spain[305],
The Photographer of Mauthausen,Drama,Netflix,2018,,"1 hour, 50 min.",Selected Territories,
The Plagues of Breslau,Thriller,Netflix,2018,,"1 hour, 33 min.",Selected Territories,
The Resistance Banker,Thriller,Netflix,2018,,"2 hours, 3 min.",Selected territories including Sweden,
The Titan,Science fiction,Netflix,2018,,"1 hour, 37 min.","United States, Canada, Italy, San Marino, Vatican City, and Japan[306]",
The Tree of Blood,Drama,Netflix,2018,,"2 hours, 15 min.",Worldwide except Spain,
The Tribe,Comedy,Netflix,2018,,"1 hour, 30 min.",Worldwide except Spain and Taiwan[307],
The Warning,Thriller,Netflix,2018,,"1 hour, 32 min.",Selected territories,
The World Is Yours,Comedy,Netflix,2018,,"1 hour, 45 min.","Selected territories, including Sweden[308]",
Time Share,Drama,Netflix,2018,,"1 hour, 36 min.","Worldwide except Mexico, Belgium and Netherland [309]",
Us and Them,Drama,Netflix,2018,,"1 hour, 59 min.",Worldwide except Mainland China [310],
When Angels Sleep,Drama,Netflix,2018,,"1 hour, 31 min.",Selected territories,
White Fang,Animation,Netflix,2018,,"1 hour, 25 min.",Selected territories including the United States[311],
Willy and the Guardians of the Lake: Tales from the Lakeside Winter Adventure,Animation,Netflix,2018,,"1 hour, 10 min.",Selected territories,
Your Son,Drama,Netflix,2018,,"1 hour, 43 min.",Selected territories,
Yucatán,Comedy,Netflix,2018,,"2 hours, 9 min.",Selected territories,
Zoe,Science fiction,Netflix,2018,,"1 hour, 44 min.","Japan,[312] Benelux,[313] Sweden",
4L,Comedy,Netflix,2019,,"1 hour, 44 min.",Selected territories,
37 Seconds,Drama,Netflix,2019,,"1 hour, 55 min.",Selected territories,
A Shaun the Sheep Movie: Farmageddon,Animation,Netflix,2019,,"1 hour, 26 min.","United States, Canada, and Latin America[314]",
A Sun,Drama,Netflix,2019,,"2 hours, 36 min.",Selected territories,
After,Drama,Netflix,2019,,"1 hour, 45 min.",Selected territories,
All the Freckles in the World,Romantic comedy,Netflix,2019,,"1 hour, 29 min.",Selected territories,
Arctic Dogs,Animation,Netflix,2019,,"1 hour, 32 min.",Selected territories,
Atlantics,Drama,Netflix,2019,,"1 hour, 46 min.","Worldwide except France, Switzerland, Russia, Benelux and China[315]",
Blood Will Tell,Thriller,Netflix,2019,,"1 hour, 53 min.",Selected territories,
Boi,Thriller,Netflix,2019,,"1 hour, 51 min.",Selected territories,
Booksmart,Coming-of-age Comedy,Netflix,2019,,"1 hour, 45 min.",Selected territories including France,
Brother,Drama,Netflix,2019,,"1 hour, 36 min.",Selected territories,
Close,Thriller,Netflix,2019,,"1 hour, 34 min.",Selected territories,
DJ Cinderella,Drama,Netflix,2019,,"1 hour, 35 min.",Selected territories,
Dragon Quest: Your Story,Anime,Netflix,2019,,"1 hour, 42 min.",Selected territories,
"Extremely Wicked, Shockingly Evil and Vile",Thriller,Netflix,2019,,"1 hour, 48 min.",United States and select other territories[316],
Eye for an Eye,Thriller,Netflix,2019,,"1 hour, 47 min.",Selected territories,
Furie,Action-drama,Netflix,2019,,"1 hour, 37 min.",Selected territories,
Get In,Thriller,Netflix,2019,,"1 hour, 37 min.",Selected territories,
Grandma's Wedding,Romantic comedy,Netflix,2019,,"1 hour, 37 min.",Selected territories,
Hot Gimmick: Girl Meets Boy,Drama,Netflix,2019,,"1 hour, 59 min.",Worldwide except Japan,
I Am Mother,Science fiction Thriller,Netflix,2019,,"1 hour, 53 min.",North America and selected territories[317],
I Lost My Body,Animation,Netflix,2019,,"1 hour, 21 min.",Worldwide except France and Turkey[318],
In Family I Trust,Comedy,Netflix,2019,,"1 hour, 37 min.",Selected territories,
Isn't It Romantic,Romantic comedy,Netflix,2019,,"1 hour, 28 min.",Selected Territories except the United States. and Canada[319],
Jo Pil-ho: The Dawning Rage,Drama,Netflix,2019,,"2 hours, 7 min.",Selected Territories,
Kardec,Drama,Netflix,2019,,"1 hour, 50 min.",Selected territories,
Kidnapping Stella,Crime drama,Netflix,2019,,"1 hour, 29 min.",Selected territories,
Let's Dance,Drama,Netflix,2019,,"1 hour, 49 min.",Selected territories,
"Live Twice, Love Once",Drama,Netflix,2019,,"1 hour, 41 min.",Selected territories,
Maria,Drama,Netflix,2019,,"1 hour, 30 min.",Selected territories,
Money Trap,Comedy,Netflix,2019,,"2 hours, 1 min.",Selected territories,
Ni no Kuni,Anime,Netflix,2019,,"1 hour, 46 min.",Selected territories,
"Oh, Ramona!",Comedy,Netflix,2019,,"1 hour, 49 min.",Selected territories,
Paradise Beach,Thriller,Netflix,2019,,"1 hour, 33 min.",Selected territories,
Pokémon: Mewtwo Strikes Back—Evolution,Anime,Netflix,2019,,"1 hour, 38 min.",Worldwide except Japan and South Korea[320],
Ready to Mingle,Comedy,Netflix,2019,,"1 hour, 37 min.",Selected territories,
School Life,Teen comedy,Netflix,2019,,"1 hour, 51 min.",Selected territories,
Serenity,Drama,Netflix,2019,,"1 hour, 46 min.",Selected territories,
Shaft,Action comedy,Netflix,2019,,"1 hour, 51 min.",Worldwide excluding United States and Canada[321],
Shanghai Fortress,Action/Adventure,Netflix,2019,,"1 hour, 47 min.",Selected territories,
Svaha: The Sixth Finger,Thriller,Netflix,2019,,"2 hours, 2 min.",Worldwide except South Korea,
System Crasher,Drama,Netflix,2019,,"1 hour, 58 min.",Selected territories,
The 3rd Eye 2,Horror,Netflix,2019,,"1 hour, 56 min.",Selected territories,
The Boy Who Harnessed the Wind,Drama,Netflix,2019,,"1 hour, 53 min.",Worldwide except Japan and China[322],
The Coldest Game,Spy thriller,Netflix,2019,,"1 hour, 43 min.",Selected territories,
The Endless Trench,Historical drama,Netflix,2019,,"2 hours, 27 min.",Selected territories,
The Influence,Horror,Netflix,2019,,"1 hour, 39 min.",Selected territories,
The Legacy of the Bones,Thriller,Netflix,2019,,"2 hours, 1 min.",Selected territories,
The Little Switzerland,Comedy,Netflix,2019,,"1 hour, 26 min.",Selected territories,
The Platform,Thriller,Netflix,2019,,"1 hour, 34 min.",Selected territories,
The Ruthless,Crime drama,Netflix,2019,,"1 hour, 30 min.",Worldwide except France[323],
The Silence,Horror,Netflix,2019,,"1 hour, 30 min.",Selected territories,
The Silence of the Marsh,Thriller,Netflix,2019,,"1 hour, 32 min.",Selected territories,
The Silent War,Drama,Netflix,2019,,"2 hours, 1 min.",Selected territories,
The Son,Psychological thriller,Netflix,2019,,"1 hour, 32 min.","Worldwide except China, South Korea, Argentina and Uruguay.[324]",
The Wandering Earth,Drama,Netflix,2019,,"2 hours, 5 min.",Selected territories,
The Wolf's Call,Drama,Netflix,2019,,"1 hour, 55 min.",Worldwide except France,
Till Death: Azalea's Wrath,Horror,Netflix,2019,,"1 hour, 45 min.",Selected territories,
Tune in for Love,Romantic drama,Netflix,2019,,"2 hours, 2 min.",Worldwide except South Korea[325],
Twin Murders: The Silence of the White City,Thriller,Netflix,2019,,"1 hour, 50 min.",Selected territories,
Uncut Gems,Crime thriller,Netflix,2019,,"2 hours, 15 min.",Worldwide excluding United States[326],
Wasp Network,Thriller,Netflix,2019,,"2 hours, 8 min.",Selected territories,
Wounds,Horror,Netflix,2019,,"1 hour, 34 min.",Worldwide except the United States.[327],
